image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-b53fd69ef8a695eeab475225347d98b0d809c02c,0b873d69904a.png,0b873d69904ab9f6d4b03b9b328dfe5f1c5ea46804528723c728922ee6e22e85,0b873d69904a,image/png,9432,970,115,RGBA,,1,extracted
image-afca879240642a684bdc9d2e7311146b73bdfbfe,4fe432228085.png,4fe432228085fe4f7d43964f20229739e1e6a77e12fa0f61b44a7b201fdbf8d4,4fe432228085,image/png,45238,996,491,RGBA,,1,extracted
image-fff2b0d1da892ea248e3cecf23ac0dd1f6a94f55,c0a432e21432.png,c0a432e21432ee055dac9c884568ba9bebabc9cedadf6f9c882c5f325806ea59,c0a432e21432,image/png,21896,946,406,RGBA,,1,extracted
image-0877421074f65856dfbf91ed25919e84e843d955,65c41f328e45.png,65c41f328e454c5e3cbe5c6479ef89449f590dccd08eb533f0d968d92f139c5d,65c41f328e45,image/png,37564,1037,455,RGBA,,1,extracted
image-46c35403ad39f318c44e170ef4f4d687dc08714d,3dcc906c70d3.png,3dcc906c70d3c7d815d9bda8615890712b580879103fc8c0f5c7dfd1f2c762d4,3dcc906c70d3,image/png,60197,994,498,RGBA,,1,extracted
image-4a34048ffc50879049ef33f1e3d9a9ec80ce079c,a57ccbb0f588.png,a57ccbb0f588fc5f16d22c2911502eb40f016a27c25991751dc55413660ca8f6,a57ccbb0f588,image/png,59127,958,620,RGBA,,1,extracted
image-5a072a21ba57e2d68da91d6e24fa651a6993b80f,d0e08ebfecb9.png,d0e08ebfecb98c0f1108bc81d86dd2661a7b688256b31c242f6e78872c9e4b38,d0e08ebfecb9,image/png,13951,880,212,RGBA,,1,extracted
image-f58948b5faea231cc75655bf0cdc97b5b29dec45,609acc6ae238.png,609acc6ae238a015ac8f0cfb4731684738ef3200a984af43910c636adbcb9a6d,609acc6ae238,image/png,40747,941,536,RGBA,,1,extracted
image-0cbd0925eaf54ced29e7660a6c9a78f531e1bd0a,3ff4540dd5e6.png,3ff4540dd5e6c414ff2f4f4e3cbefaaacc25fe73948d96bb4dfac6cd1ae67840,3ff4540dd5e6,image/png,28125,1002,185,RGBA,,1,extracted
image-28b1eb5b3f9fe98d43ac87f0e90ccfa39bd2c1af,6e72fbfceea6.png,6e72fbfceea6969d7b0bbe6ef9ced54297e6467aed3b336637b35b67e287a938,6e72fbfceea6,image/png,24194,929,344,RGBA,,1,extracted
image-32e778f763ca7e16464127a2a50917a725cb028f,8371e9983e59.png,8371e9983e5987496ef73c2451b10ff23b844f38e0f650879608b81a7773aeea,8371e9983e59,image/png,59384,909,546,RGBA,,1,extracted
image-0bc541db25f6298619f51ba7902a253cbf289bd7,00e2bd108eed.png,00e2bd108eedb7dd2cabd84123143fa4b46ce55d09577244045333cfca431d24,00e2bd108eed,image/png,22377,970,170,RGBA,,1,extracted
image-c22e23eb367976222dc7b52c3881093e8d4ec9d4,762e4d2f76ac.png,762e4d2f76acc344280ca65436c792136d8bead79447a0c1ec8f7bbfe88ed1cb,762e4d2f76ac,image/png,55251,1016,446,RGBA,,1,extracted
image-e0e735958c2f237452d79942bee76899e0f24b02,4d0837fba2b5.png,4d0837fba2b55508f55c315ff2b1130115afff78485f6b55d412b212adc19f2c,4d0837fba2b5,image/png,49261,999,642,RGBA,,1,extracted
image-6ae0899867828163f55e0d40b6b57c0be81bae02,a8acc23cc221.png,a8acc23cc221489f80811d48cfcb5fc5cd515173f00dd13d3dc2080896834f95,a8acc23cc221,image/png,51783,911,448,RGBA,,1,extracted
image-66df9288f2a2a5c4e83a563eb0c0ff05bcae7ec2,5c1d06a4c98d.png,5c1d06a4c98d2558ee9b624bf39cb3dc6ec00ce97f484b51d17a031db246e44a,5c1d06a4c98d,image/png,17030,820,197,RGBA,,1,extracted
