image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-186f5d5d8616bf03c0c26d87c00cdad5cc3060bc,713a77832c3b.png,713a77832c3bd73c89010bf3b93297db5bcf4e7ce04ac0eb6907218e329b65f1,713a77832c3b,image/png,18423,924,301,RGBA,,1,extracted
image-5fbe389b03060c0cb5e02bb8a27de25618b4d77b,92d3472453ab.png,92d3472453ab094350ac5d08e2aa6c3dd90ded353bab6fb43e80c75fc906f203,92d3472453ab,image/png,25390,940,378,RGBA,,1,extracted
image-ab6dab972a3e6c4a815fbf1da82218e43e670418,98704d2f342f.png,98704d2f342fb7925147525ce1e4ba71c54cdf1ed6f7c97e4cbb8429096fa1f7,98704d2f342f,image/png,14086,940,251,RGBA,,1,extracted
image-bf836c13002b2ba79cf9144a83fa42c2bd71d537,03f2ed22e3a0.png,03f2ed22e3a03246b8974d374ad06253ea9b67fa62de309c9f6e424ab995e441,03f2ed22e3a0,image/png,13534,981,248,RGBA,,1,extracted
image-677f536978807bbc0b588e040981c0af0ebf6f6f,915b1d7e4144.png,915b1d7e4144e63f4f15ef318ef1dd9c89bb407d72fe26cba789cee4c5551ed0,915b1d7e4144,image/png,18417,900,335,RGBA,,1,extracted
image-1931e44b55d4e08bd5f05868aac49f4414c0df95,8cdd0fb0c6c0.png,8cdd0fb0c6c037de8af5d0d9e9bdcc937923b830c38338ffd22bf5ff809c0bbe,8cdd0fb0c6c0,image/png,32637,959,435,RGBA,,1,extracted
image-114e1b18049aa1755ae0ba090708a6dfbc711bfd,569e85b882ec.png,569e85b882ec0318e8a35598f59253cbd8d67485129ef44f1db178f93912d8c9,569e85b882ec,image/png,23058,828,298,RGBA,,1,extracted
image-949fd0fee459606793f04eab58cd635ccece2c4b,6b8d59ff86c9.png,6b8d59ff86c9ce2b1907acd602e9ae7743621a0a483cb1ef0cc4b86291ccd328,6b8d59ff86c9,image/png,28100,684,428,RGBA,,1,extracted
image-5c7ca6904005b4dc56e7b1c674cdc2079c673ce2,e1bb01361d6d.png,e1bb01361d6db714db2da40e418904632606d02f6def7fe46fa66a36a846d3b2,e1bb01361d6d,image/png,33226,933,413,RGBA,,1,extracted
image-92afaa2e4323e1680a19d64f0f7488cfa4468003,006caa84fef6.png,006caa84fef65e80c26306784da62a19593ce4c0d87feea13487bdc52b599874,006caa84fef6,image/png,42524,927,538,RGBA,,1,extracted
image-88da74233209dc5130d15f33a1722815482be0e6,790b9e9f018f.png,790b9e9f018f594eb0e3075ddf46b3ab938e5b288ec5f528a5460218de908c5f,790b9e9f018f,image/png,25299,980,330,RGBA,,1,extracted
