label_id,region,semantic_review_status,x,y,text
T-037,R02,processed,5392.8150548791455,10207.707254290943,"[HttpGet(""{authorId}"", Name = ""GetAuthor"")]"
T-038,R02,processed,5392.8150548791455,10207.707254290943,"public async Task<IActionResult> GetAuthor(Guid authorId, string? fields,"
T-039,R02,processed,5392.8150548791455,10207.707254290943,"[FromHeader(Name = ""Accept"")] string? mediaType)"
T-040,R02,processed,5392.8150548791455,10207.707254290943,{
T-041,R02,processed,5392.8150548791455,10207.707254290943,// 1) Parse accept header
T-042,R02,processed,5392.8150548791455,10207.707254290943,"if (!MediaTypeHeaderValue.TryParse(mediaType, out var parsedMediaType))"
T-043,R02,processed,5392.8150548791455,10207.707254290943,{
T-044,R02,processed,5392.8150548791455,10207.707254290943,"return BadRequest(""Invalid Accept header."");"
T-045,R02,processed,5392.8150548791455,10207.707254290943,}
T-046,R02,processed,5392.8150548791455,10207.707254290943,// 2) Fetch
T-047,R02,processed,5392.8150548791455,10207.707254290943,var authorFromRepo = await _courseLibraryRepository.GetAuthorAsync(authorId);
T-048,R02,processed,5392.8150548791455,10207.707254290943,if (authorFromRepo == null) return NotFound();
T-049,R02,processed,5392.8150548791455,10207.707254290943,var authorDto = _mapper.Map<AuthorDto>(authorFromRepo);
T-050,R02,processed,5392.8150548791455,10207.707254290943,// 3) Representation decision
T-051,R02,processed,5392.8150548791455,10207.707254290943,"if (parsedMediaType.MediaType == ""application/vnd.marvin.hateoas+json"")"
T-052,R02,processed,5392.8150548791455,10207.707254290943,{
T-053,R02,processed,5392.8150548791455,10207.707254290943,"var links = CreateLinksForAuthor(authorId, fields);"
T-054,R02,processed,5392.8150548791455,10207.707254290943,"var shaped = authorDto.ShapeData(fields) as IDictionary<string, object?>;"
T-055,R02,processed,5392.8150548791455,10207.707254290943,"shaped!.Add(""links"", links);"
T-056,R02,processed,5392.8150548791455,10207.707254290943,return Ok(shaped);
T-057,R02,processed,5392.8150548791455,10207.707254290943,}
T-058,R02,processed,5392.8150548791455,10207.707254290943,// default/plain representation
T-059,R02,processed,5392.8150548791455,10207.707254290943,return Ok(authorDto.ShapeData(fields));
T-060,R02,processed,5392.8150548791455,10207.707254290943,}
T-061,R02,processed,4422.4672142511,10238.28969429463,FULL
T-062,R02,processed,399.2439896456035,10379.06000598704,FOR SYSTEM.TEXT.JSON
T-063,R02,processed,2698.1950265842297,10431.900714283829,checking
T-064,R02,processed,2548.3615989818463,11419.15560547749,framework
T-065,R02,processed,4204.870658580415,11442.894826753645,why we also need to check
T-066,R02,processed,4204.870658580415,11442.894826753645,if header has valid media type
T-067,R02,processed,4204.870658580415,11442.894826753645,if framework reject
T-068,R02,processed,4204.870658580415,11442.894826753645,unsupported media type output
T-069,R02,processed,1615.0350552273176,11515.06704655838,!!!!!!!!!!!!!!!!!!!!
T-070,R02,processed,2689.891896439639,13623.93633284667,~!!!!
T-071,R03,processed,3107.6243941017656,18391.623222567163,BETTER:
T-072,R03,processed,2587.1998250167644,19031.175455116754,!!!!
T-073,R04,processed,2805.138594063072,26220.788780256255,mAY BE BETTER THAN NULLABLE FIELDS IN DTO
