image_use,symbol_id,asset_id,x,y,width,height,center_x,center_y,region,review_status,transcript_file
IU-044,image-e4907ac42150eb59e211d979731ba08873137b12,A-028,4286.031115035629,10034.068687620616,862.0,334.0,4717.031115035629,10201.068687620616,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-045,image-3cf7263f1cf73517abae3dd215bb09f30693efe7,A-027,4313.560132892772,10458.449669065929,773.0,430.0,4700.060132892772,10673.449669065929,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-046,image-414e8802667f012142bce95b96e7ced464a199d7,A-026,4303.316916514424,10939.85440190633,816.0,271.0,4711.316916514424,11075.35440190633,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-047,image-3c37282676fd56ba06a958ad7e75ca2777f48c37,A-025,4344.120667274436,11274.640159788585,734.0,430.0,4711.120667274436,11489.640159788585,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-048,image-bdb40a9127733a8fc255a16584e642c1d34ac12e,A-024,4493.692949752426,12237.949612390428,756.0,349.0,4871.692949752426,12412.449612390428,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-049,image-e6093cc4c313011769965cbc26fa99a5de60d3b1,A-023,4444.88198153796,12631.293301355272,800.0,482.0,4844.88198153796,12872.293301355272,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-050,image-66534cb2488fba043649917566d54d42d13aea9d,A-022,4410.359819869614,13166.449612390428,864.0,412.0,4842.359819869614,13372.449612390428,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-051,image-5dfdc994fc6232a9ad311dfbd02e686ba549eb2f,A-021,4435.192949752426,13622.78292537871,825.0,342.0,4847.692949752426,13793.78292537871,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-052,image-a9cf7cd00bdf0c4a6937a6ea386bd9ec2835b6d6,A-020,4412.359575728989,13983.116299402147,796.0,288.0,4810.359575728989,14127.116299402147,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-053,image-07bb05356c1ff52650c91bf349568a934e8a4c9e,A-019,4422.026323775864,14278.616360437303,870.0,337.0,4857.026323775864,14447.116360437303,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-054,image-8a4ceaa16cae5221de0ff8185c168e19920e0e79,A-018,4428.526445846176,14625.11623836699,801.0,268.0,4829.026445846176,14759.11623836699,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-055,image-b8699c1754de5a37dd53d5d7d1d21abc15638320,A-017,4433.526323775864,14927.894060225713,735.0,370.0,4801.026323775864,15112.894060225713,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-056,image-bfae864a8e3c9051f98520b3e6d559236c3b8924,A-016,4409.970802128729,15342.282966068813,771.0,379.0,4795.470802128729,15531.782966068813,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-057,image-1e478180ea5151a583bdec7757442b66ca6a6bae,A-015,4409.637468795396,15778.949581872852,825.0,279.0,4822.137468795396,15918.449581872852,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-058,image-8eb7c214724e615c9bfeeb599a1b5bcdba62cc2c,A-014,4423.304033736802,16622.283067794073,771.0,359.0,4808.804033736802,16801.783067794073,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-059,image-6e19941064e773e780dc3ad2464fb3cfeec03e2c,A-013,4385.83394937041,16127.293382735483,779.0,482.0,4775.33394937041,16368.293382735483,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-060,image-b485bb9ade0cdeecc743755324b6d74c54492655,A-012,4467.026294711503,17846.997184571766,728.0,311.0,4831.026294711503,18002.497184571766,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-061,image-0caa65e367e68767462c500942a112bf0b8f7bbe,A-011,4545.481668315813,17030.324632735483,593.0,376.0,4841.981668315813,17218.324632735483,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-062,image-8c48a8a434a2c899f6fa78421a11680ca3f58cc5,A-010,4484.36817023985,17441.03884760539,626.0,376.0,4797.36817023985,17629.03884760539,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
IU-063,image-f59fa0e8717e101e722e76e70b6b154f614a048c,A-009,3385.282102066444,8047.254907668939,614.0,301.0,3692.282102066444,8197.75490766894,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-064,image-f59fa0e8717e101e722e76e70b6b154f614a048c,A-009,2476.947876170495,3837.5310370805655,661.0,324.0,2807.447876170495,3999.5310370805655,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-065,image-9d6815c769def8df1a9863f41f4642f14989e5a5,A-008,3282.713854414953,8372.656366028183,759.0,482.0,3662.213854414953,8613.656366028183,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-066,image-9c3e40f5d556d7ae3c78987c616fbb59ef9ef753,A-007,3264.3384694469814,8890.680201821704,758.0,313.0,3643.3384694469814,9047.180201821704,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-067,image-f0f4cf3cd3bef519e00140897b1ff47d00203c6a,A-006,3208.953760162127,9236.35962640103,838.0,276.0,3627.953760162127,9374.35962640103,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-068,image-9a58d2d5f3e8d8065200e21a107066fe488f3341,A-005,3216.953760162126,9540.33404797555,822.0,146.0,3627.953760162126,9613.33404797555,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-069,image-74b24b11398ce27c0591d43e27013bb48e431365,A-004,5716.312216330794,3349.9626332146636,759.0,482.0,6095.812216330794,3590.9626332146636,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-070,image-d6e2efa5b63ef9cb56a90d19a19b316737772663,A-003,5759.168592516257,3879.825393948395,869.0,482.0,6193.668592516257,4120.825393948395,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-071,image-d03447c52018d0384b7568b80754c7cd8649f5f3,A-002,5819.71306363162,4386.481796536285,901.0,289.0,6270.21306363162,4530.981796536285,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-072,image-3aaad97c5a8fe66d33ee1e2fd0ec78819f5da118,A-001,549.8229049249821,705.9994461681545,1089.0,260.0,1094.3229049249821,835.9994461681545,R01,verified,regions/R01-contract-fields-validation.md
