text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-017,Policyeval.Authenticate,4942.21075907944,6568.122498259556,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-018,respect allowanonymous,4967.988471946814,7663.011424447706,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-019,but populate context.User,4967.988471946814,7757.102333538618,R03,closed,05-transcript-R03-policy-authentication-schemes-and-allowanonymous.md,10-full-combined-final-transcript.md
T-020,resource,5073.7027576611,8362.059058027506,R04,closed,06-transcript-R04-policyevaluator-resource-challenge-and-forbid.md,10-full-combined-final-transcript.md
T-021,PolicyEvaluator.Authorize,5065.859596470842,9186.372771550024,R04,closed,06-transcript-R04-policyevaluator-resource-challenge-and-forbid.md,10-full-combined-final-transcript.md
T-022,IAuthorizationService,5078.045232085617,11112.865345958022,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-023,default one,5078.045232085617,11206.956255048932,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-024,defaulthandlerprovider,5047.060332738139,11830.592625621108,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-025,defaultAuthorizationEvaluator,5059.560332738139,12400.59266376808,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-026,After authorization resulot,5055.545169663298,12956.122960440556,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-027,for what,5150.246024364153,14460.738313755859,R06,closed,08-transcript-R06-authorization-middlewareresult-handler-customization.md,10-full-combined-final-transcript.md
T-028,interface,5047.33998016218,15280.210469204578,R06,closed,08-transcript-R06-authorization-middlewareresult-handler-customization.md,10-full-combined-final-transcript.md
T-029,default implementation behavior,6307.33998016218,15280.210469204578,R06,closed,08-transcript-R06-authorization-middlewareresult-handler-customization.md,10-full-combined-final-transcript.md
T-030,parameters,5279.940553265511,15886.968704127288,R06,closed,08-transcript-R06-authorization-middlewareresult-handler-customization.md,10-full-combined-final-transcript.md
T-031,Looping over policy schemes,5047.188954685054,17000.368863985335,R07,closed,09-transcript-R07-policy-result-failed-requirements-and-scheme-events.md,10-full-combined-final-transcript.md
T-032,AuthorizationMiddlewareResHanlder,4205.204031330583,13644.37629656116,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-033,InvokeHanldersAfterFailure,6477.7453997970315,11328.792838279349,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-034,why to have,6485.7458880782815,13678.126212302786,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-035,InvokeHanldersAfterFailure,6485.7458880782815,13772.217121393696,R05,closed,07-transcript-R05-authorizationservice-handlers-and-evaluator.md,10-full-combined-final-transcript.md
T-036,get endpoint and set features,2397.8154005595316,4284.7605714967185,R02,closed,04-transcript-R02-policy-construction-caching-and-no-policy-path.md,10-full-combined-final-transcript.md
T-037,for future endpointRoutingMiddleware,2397.8154005595316,4309.7605714967185,R02,closed,04-transcript-R02-policy-construction-caching-and-no-policy-path.md,10-full-combined-final-transcript.md
T-038,so we will know that authorization middleware,2397.8154005595316,4334.7605714967185,R02,closed,04-transcript-R02-policy-construction-caching-and-no-policy-path.md,10-full-combined-final-transcript.md
